Pair,Beefy APY,Beefy TVL,Yearn APY,Yearn TVL,Yearn Address,OP Boost,OP boost/TVL
USDC-WTBT,0.014535111964129932,16.23,0.014428540603648399,22.132766173234874,0x05bBAF27429EB35cb3d51a979aCBA69f2F00E66A,0,0.0
UNIDX-DAI,0,0.0,,,,0,0.0
WETH-AELIN,0,21.43,,,,0,0.0
USDC-MTA,0.20075164385540112,46951.08,0.14666634118365507,308882.45994084916,0x906122aC1b55B71248ABFA552fDc6ABd3356884A,500,0.21043603451114534
SONNE-USDC,0.9779769585953302,63091.25,0.9724033543489228,3410.6356298415435,0xB9A14C5C760023801f8c731b4621C99F8ac211D9,0,0.0
WETH-LUSD,0.08209518295964635,47537.28,0.06017093842140442,1137431.0111802754,0xbC61B71562b01a3a4808D3B9291A3Bf743AB3361,1000,0.11429264607890653
WETH-OP,0.08678536946154769,129496.08,0.06398711105550059,330411.9417784075,0xDdDCAeE873f2D9Df0E18a80709ef2B396d4a6EA5,300,0.11803447475320233
USDC-AGEUR,0.1174698498957254,114232.1,0.08589828988709436,297060.7072048296,0x03894Ca9b0CABfC53dDE7C2DCfcC2A58D6192687,500,0.21881049369205577
WETH-UNIDX,0,0.43,,,,0,0.0
WSTETH-OP,0.033454683411652475,39088.33,0.03324891122557916,90.83229580828348,0x830cB4AabF786b9349d9701dD8ee073215d95174,0,0.0
OP-AGEUR,0.2453443215088531,12811.49,,,,0,0.0
OP-VELO,0.3934557193407908,155699.92,0.2818275752666637,69448.84042290252,0xC86B70e2C16C5fB5315e4663737E0E077ABFC395,150,0.280782225898323
HND-USDC,0.013820116410726335,1830.54,,,,0,0.0
LYRA-USDC,0.31181148245078094,114610.81,0.30826946181567405,4528.52413221114,0x6657BdB994fC8678f6D709077F30aA0B3249b5c8,0,0.0
THALES-USDC,0.6814305182541402,130177.92,0.67525917582302,108.60120203254532,0xa31Ad8D355B5223Ad34FD4fD0bC854A68E7D9681,0,0.0
THALES-WETH,0.7578958437696244,74427.34,0.7503344527542011,7146.685023816488,0x45b0a7Dc29B7856A1B5069DB4CfA2A984b69cC41,0,0.0
OP-USDC,0.1116594327720426,151133.47,0.0822943130131093,285782.4706468527,0x3AD9566b15AACDd26d8a220cA8635F925EA7a3f6,300,0.13646743242062984
STG-USDC,0.2677432824465975,3994347.58,0.19383992099188485,3579.835169924563,0xf6B272134A193Df5b04332e73184E5b40b8EB810,500,18.15726057615377
WETH-BOB,0,4.13,,,,0,0.0
WETH-USDC,0.10162596195882401,12737.91,0.10083808045357046,162.85396992519645,0xF89FdBBCE1A707061e9d59B8E4387f89798B4d10,0,0.0
WSTETH-WETH,0.05025642640987771,339915.05,0.049728863050628735,24.931666869675087,0x6Ec9d003f0e5184Ee54c1d899B414322a0f0Dc07,0,0.0
OP-BIFI,0,0.0,,,,0,0.0
WUSDR-USDC,0.09537891886744543,22907.19,0.09445073633318768,1109.9595053320645,0x531fDb1C8429F404116932226D487db94471C4b7,0,0.0
WETH-RETH,0.00356389765992704,25662.44,0.0035418959053703514,18.441463655489322,0x71117Bcd8FE69177EEb8857538D625209756B745,0,0.0
WETH-KWENTA,0.44021873496629715,153983.47,0.43867763755397093,17882.77600226803,0x686c125472024bDd3fA74eeb3720B3237541dCDC,0,0.0
WETH-BIFI,0,0.62,,,,0,0.0
WSTETH-LDO,0.049252809911510154,91227.73,0.03622014142150287,375829.5383660989,0x507343bAD3a1ee0B67C3B1712133290DED43980D,300,0.10377044914976787
USDC-VELO,0.531286397530123,134269.03,0.3757644089752501,162050.56711153348,0x88B429359665B8685b7431f5A0f6e8C719Bf49Aa,1000,0.8022187291114246
EXA-WETH,3.2685020525341635,42494.54,1.9928975651298901,4737.795455751941,0xc3439Ba7db7566ed0deF55c179ED9b3bA273A67F,300,8.231676602385162
WBTC-TBTC,0.018326798134348676,94911.13,0.029191752268351134,399086.9628136174,0x00Cb8E36A9C40491A39e8bF2864Ed30C1B579860,300,0.09772306197387329
WETH-TBTC,0.050430264050017826,35.02,0.07454797801907675,418854.5929003685,0x00a2faF97CC2b985B29a0a0eAa6E0D8033Dc0eA1,500,0.15518511937497442
UNIDX-WETH-V2,0.49246451956435,26986.74,,,,0,0.0
UNIDX-DAI-V2,0.1389065619239409,1058.92,,,,0,0.0
